20121005_182526_962  642 -80.09389232 40.60498047 2 PartlyCloudy
20121005_182526_962  648 -80.09392186 40.60519823 2 PartlyCloudy
20121005_182526_962  653 -80.09394790 40.60538089 2 PartlyCloudy
20121005_182526_962  658 -80.09397429 40.60556390 2 PartlyCloudy
20121005_182526_962  663 -80.09399899 40.60574565 2 PartlyCloudy
20121005_182526_962  670 -80.09403508 40.60599887 2 PartlyCloudy
20121005_182526_962  675 -80.09406266 40.60617809 2 PartlyCloudy
20121005_182526_962  681 -80.09409674 40.60639075 2 PartlyCloudy
20121005_182526_962  687 -80.09413026 40.60659964 2 PartlyCloudy
20121005_182526_962  692 -80.09415503 40.60676940 2 PartlyCloudy
20121005_182526_962  698 -80.09418335 40.60697126 2 PartlyCloudy
20121005_182526_962  701 -80.09419709 40.60707163 2 PartlyCloudy
20121005_182526_962  704 -80.09421238 40.60717401 2 PartlyCloudy
20121005_182526_962  710 -80.09424431 40.60738363 2 PartlyCloudy
20121005_182526_962  715 -80.09427259 40.60757633 2 PartlyCloudy
20121005_182526_962  721 -80.09430432 40.60778941 2 PartlyCloudy
20121005_182526_962  727 -80.09433531 40.60799872 2 PartlyCloudy
20121005_182526_962  732 -80.09435991 40.60817220 2 PartlyCloudy
20121005_182526_962  738 -80.09438624 40.60837890 2 PartlyCloudy
20121005_182526_962  741 -80.09439878 40.60848377 2 PartlyCloudy
20121005_182526_962  744 -80.09441132 40.60858865 2 PartlyCloudy
20121005_182526_962  750 -80.09443851 40.60879729 2 PartlyCloudy
20121005_182526_962  755 -80.09446266 40.60897313 2 PartlyCloudy
20121005_182526_962  761 -80.09449322 40.60918813 2 PartlyCloudy
20121005_182526_962  766 -80.09451830 40.60936716 2 PartlyCloudy
20121005_182526_962  772 -80.09454613 40.60958176 2 PartlyCloudy
20121005_182526_962  778 -80.09457443 40.60979722 2 PartlyCloudy
20121005_182526_962  783 -80.09459932 40.60997772 2 PartlyCloudy
20121005_182526_962  789 -80.09462773 40.61019418 2 PartlyCloudy
20121005_182526_962  794 -80.09464887 40.61037348 2 PartlyCloudy
20121005_182526_962  800 -80.09467350 40.61058951 2 PartlyCloudy
20121005_182526_962  805 -80.09469419 40.61077103 2 PartlyCloudy
20121005_182526_962  811 -80.09472289 40.61099394 2 PartlyCloudy
20121005_182526_962  816 -80.09474698 40.61118065 2 PartlyCloudy
20121005_182526_962  821 -80.09477077 40.61136796 2 PartlyCloudy
20121005_182526_962  827 -80.09479799 40.61159368 2 PartlyCloudy
20121005_182526_962  832 -80.09482066 40.61177705 2 PartlyCloudy
20121005_182526_962  837 -80.09484285 40.61196287 2 PartlyCloudy
20121005_182526_962  843 -80.09486897 40.61218964 2 PartlyCloudy
20121005_182526_962  848 -80.09489159 40.61237913 2 PartlyCloudy
20121005_182526_962  853 -80.09491423 40.61256789 2 PartlyCloudy
20121005_182526_962  858 -80.09493828 40.61276133 2 PartlyCloudy
20121005_182526_962  863 -80.09496754 40.61297343 2 PartlyCloudy
20121005_182526_962  868 -80.09499251 40.61316807 2 PartlyCloudy
20121005_182526_962  874 -80.09502249 40.61339894 2 PartlyCloudy
20121005_182526_962  879 -80.09504763 40.61359105 2 PartlyCloudy
20121005_182526_962  884 -80.09506913 40.61377966 2 PartlyCloudy
20121005_182526_962  889 -80.09509212 40.61397303 2 PartlyCloudy
20121005_182526_962  894 -80.09511621 40.61416987 2 PartlyCloudy
20121005_182526_962  899 -80.09514065 40.61436750 2 PartlyCloudy
20121005_182526_962  904 -80.09516613 40.61456442 2 PartlyCloudy
20121005_182526_962  909 -80.09519270 40.61476268 2 PartlyCloudy
20121005_182526_962  914 -80.09522210 40.61497156 2 PartlyCloudy
20121005_182526_962  919 -80.09524976 40.61517185 2 PartlyCloudy
20121005_182526_962  924 -80.09527636 40.61536851 2 PartlyCloudy
20121005_182526_962  929 -80.09530157 40.61556330 2 PartlyCloudy
20121005_182526_962  935 -80.09532956 40.61579909 2 PartlyCloudy
20121005_182526_962  937 -80.09533864 40.61587790 2 PartlyCloudy
20121005_182733_992   17 -80.09543418 40.61659483 2 Clear
20121005_182733_992   21 -80.09545896 40.61677063 2 Clear
20121005_182733_992   26 -80.09548815 40.61699102 2 Clear
20121005_182733_992   31 -80.09551421 40.61719058 2 Clear
20121005_182733_992   36 -80.09553838 40.61737760 2 Clear
20121005_182733_992   41 -80.09556288 40.61757436 2 Clear
20121005_182733_992   46 -80.09558831 40.61777063 2 Clear
20121005_182733_992   48 -80.09559876 40.61784901 2 Clear
20121005_182733_992   51 -80.09561459 40.61796662 2 Clear
20121005_182733_992   56 -80.09564223 40.61816303 2 Clear
20121005_182733_992   62 -80.09567546 40.61839789 2 Clear
20121005_182733_992   67 -80.09570253 40.61859357 2 Clear
20121005_182733_992   72 -80.09572839 40.61878979 2 Clear
20121005_182733_992   77 -80.09575332 40.61898522 2 Clear
20121005_182733_992   82 -80.09577783 40.61918014 2 Clear
20121005_182733_992   86 -80.09579707 40.61933557 2 Clear
20121005_182733_992   92 -80.09582685 40.61956737 2 Clear
