20130930_055047_821  342 -79.97901818 40.43547273 3 PartlyCloudy
20130930_055047_821  349 -79.97880159 40.43550549 3 PartlyCloudy
20130930_055047_821  355 -79.97862306 40.43553178 3 PartlyCloudy
20130930_055047_821  362 -79.97841734 40.43556032 3 PartlyCloudy
20130930_055047_821  376 -79.97800678 40.43561365 3 PartlyCloudy
20130930_055047_821  383 -79.97780442 40.43563589 3 PartlyCloudy
20130930_055047_821  389 -79.97762756 40.43565749 3 PartlyCloudy
20130930_055047_821  396 -79.97742001 40.43568429 3 PartlyCloudy
20130930_055047_821  403 -79.97721086 40.43571087 3 PartlyCloudy
20130930_055047_821  410 -79.97700295 40.43573528 3 PartlyCloudy
20130930_055047_821  437 -79.97622545 40.43581246 3 PartlyCloudy
20130930_055047_821  444 -79.97602459 40.43582838 3 PartlyCloudy
20130930_055047_821  452 -79.97580118 40.43584612 3 PartlyCloudy
20130930_055047_821  458 -79.97562968 40.43585950 3 PartlyCloudy
20130930_055047_821  465 -79.97542345 40.43587485 3 PartlyCloudy
20130930_055047_821  472 -79.97522610 40.43588878 3 PartlyCloudy
20130930_055047_821  479 -79.97502137 40.43590025 3 PartlyCloudy
20130930_055047_821  486 -79.97481990 40.43591104 3 PartlyCloudy
20130930_055047_821  493 -79.97461935 40.43592143 3 PartlyCloudy
20130930_055047_821  500 -79.97442357 40.43592819 3 PartlyCloudy
20130930_055047_821  508 -79.97420166 40.43593466 3 PartlyCloudy
20130930_055047_821  515 -79.97400548 40.43594080 3 PartlyCloudy
20130930_055047_821  522 -79.97380610 40.43594657 3 PartlyCloudy
20130930_055047_821  529 -79.97360303 40.43595219 3 PartlyCloudy
20130930_055047_821  535 -79.97342714 40.43595858 3 PartlyCloudy
20130930_055047_821  543 -79.97320338 40.43596052 3 PartlyCloudy
20130930_055047_821  550 -79.97300522 40.43596458 3 PartlyCloudy
20130930_055047_821  557 -79.97280273 40.43596797 3 PartlyCloudy
20130930_055047_821  563 -79.97262752 40.43596987 3 PartlyCloudy
20130930_055047_821  571 -79.97240003 40.43596814 3 PartlyCloudy
20130930_055047_821  578 -79.97220786 40.43595995 3 PartlyCloudy
20130930_055047_821  585 -79.97201103 40.43594666 3 PartlyCloudy
20130930_055047_821  592 -79.97181694 40.43593424 3 PartlyCloudy
20130930_055047_821  600 -79.97160904 40.43592275 3 PartlyCloudy
20130930_055047_821  608 -79.97140089 40.43590843 3 PartlyCloudy
20130930_055047_821  615 -79.97122154 40.43589532 3 PartlyCloudy
20130930_055047_821  623 -79.97102037 40.43588213 3 PartlyCloudy
20130930_055047_821  631 -79.97081352 40.43587257 3 PartlyCloudy
20130930_055047_821  641 -79.97060077 40.43586409 3 PartlyCloudy
20130930_055047_821  647 -79.97042620 40.43585787 3 PartlyCloudy
20130930_055047_821  655 -79.97021493 40.43585196 3 PartlyCloudy
20130930_055047_821  663 -79.97000674 40.43584813 3 PartlyCloudy
20130930_055047_821  670 -79.96981838 40.43584929 3 PartlyCloudy
20130930_055047_821  678 -79.96960641 40.43585071 3 PartlyCloudy
20130930_055047_821  686 -79.96940202 40.43584980 3 PartlyCloudy
20130930_055047_821  693 -79.96922269 40.43584837 3 PartlyCloudy
20130930_055047_821  696 -79.96914510 40.43584778 3 PartlyCloudy
20130930_055218_477    5 -79.96802347 40.43583962 3 PartlyCloudy
20130930_055218_477   13 -79.96781339 40.43583951 3 PartlyCloudy
20130930_055218_477   21 -79.96761498 40.43584084 3 PartlyCloudy
20130930_055218_477   29 -79.96742285 40.43584224 3 PartlyCloudy
20130930_055218_477   38 -79.96721288 40.43584216 3 PartlyCloudy
20130930_055218_477   47 -79.96701428 40.43584130 3 PartlyCloudy
20130930_055218_477   57 -79.96680497 40.43584091 3 PartlyCloudy
20130930_055218_477   66 -79.96661473 40.43583795 3 PartlyCloudy
20130930_055218_477   75 -79.96642011 40.43583612 3 PartlyCloudy
20130930_055218_477   85 -79.96620567 40.43583651 3 PartlyCloudy
20130930_055218_477   94 -79.96601082 40.43583782 3 PartlyCloudy
20130930_055218_477  104 -79.96581282 40.43583683 3 PartlyCloudy
20130930_055218_477  114 -79.96560866 40.43583462 3 PartlyCloudy
20130930_055218_477  124 -79.96540093 40.43583575 3 PartlyCloudy
20130930_055218_477  167 -79.96461538 40.43600054 3 PartlyCloudy
20130930_055218_477  208 -79.96400900 40.43643375 3 PartlyCloudy
20130930_055218_477  510 -79.96300149 40.43694963 3 PartlyCloudy
